Junction,Vehicles,Year,Month,Day,Hour,DayOfWeek
1,15,2015,11,1,0,Sunday
1,13,2015,11,1,1,Sunday
1,10,2015,11,1,2,Sunday
1,7,2015,11,1,3,Sunday
1,9,2015,11,1,4,Sunday
1,6,2015,11,1,5,Sunday
1,9,2015,11,1,6,Sunday
1,8,2015,11,1,7,Sunday
1,11,2015,11,1,8,Sunday
1,12,2015,11,1,9,Sunday
1,15,2015,11,1,10,Sunday
1,17,2015,11,1,11,Sunday
1,16,2015,11,1,12,Sunday
1,15,2015,11,1,13,Sunday
1,16,2015,11,1,14,Sunday
1,12,2015,11,1,15,Sunday
1,12,2015,11,1,16,Sunday
1,16,2015,11,1,17,Sunday
1,17,2015,11,1,18,Sunday
1,20,2015,11,1,19,Sunday
1,17,2015,11,1,20,Sunday
1,19,2015,11,1,21,Sunday
1,20,2015,11,1,22,Sunday
1,15,2015,11,1,23,Sunday
1,14,2015,11,2,0,Monday
1,12,2015,11,2,1,Monday
1,14,2015,11,2,2,Monday
1,12,2015,11,2,3,Monday
1,12,2015,11,2,4,Monday
1,11,2015,11,2,5,Monday
1,13,2015,11,2,6,Monday
1,14,2015,11,2,7,Monday
1,12,2015,11,2,8,Monday
1,22,2015,11,2,9,Monday
1,32,2015,11,2,10,Monday
1,31,2015,11,2,11,Monday
1,35,2015,11,2,12,Monday
1,26,2015,11,2,13,Monday
1,34,2015,11,2,14,Monday
1,30,2015,11,2,15,Monday
1,27,2015,11,2,16,Monday
1,27,2015,11,2,17,Monday
1,24,2015,11,2,18,Monday
1,26,2015,11,2,19,Monday
1,29,2015,11,2,20,Monday
1,32,2015,11,2,21,Monday
1,30,2015,11,2,22,Monday
1,27,2015,11,2,23,Monday
1,21,2015,11,3,0,Tuesday
1,18,2015,11,3,1,Tuesday
1,19,2015,11,3,2,Tuesday
1,13,2015,11,3,3,Tuesday
1,11,2015,11,3,4,Tuesday
1,11,2015,11,3,5,Tuesday
1,11,2015,11,3,6,Tuesday
1,14,2015,11,3,7,Tuesday
1,15,2015,11,3,8,Tuesday
1,29,2015,11,3,9,Tuesday
1,33,2015,11,3,10,Tuesday
1,32,2015,11,3,11,Tuesday
1,32,2015,11,3,12,Tuesday
1,29,2015,11,3,13,Tuesday
1,27,2015,11,3,14,Tuesday
1,26,2015,11,3,15,Tuesday
1,28,2015,11,3,16,Tuesday
1,26,2015,11,3,17,Tuesday
1,25,2015,11,3,18,Tuesday
1,29,2015,11,3,19,Tuesday
1,26,2015,11,3,20,Tuesday
1,24,2015,11,3,21,Tuesday
1,25,2015,11,3,22,Tuesday
1,20,2015,11,3,23,Tuesday
1,18,2015,11,4,0,Wednesday
1,18,2015,11,4,1,Wednesday
1,13,2015,11,4,2,Wednesday
1,13,2015,11,4,3,Wednesday
1,10,2015,11,4,4,Wednesday
1,12,2015,11,4,5,Wednesday
1,13,2015,11,4,6,Wednesday
1,11,2015,11,4,7,Wednesday
1,13,2015,11,4,8,Wednesday
1,22,2015,11,4,9,Wednesday
1,26,2015,11,4,10,Wednesday
